ORF,As,Ca,Cd,Cl, Co,Cu,Fe, K,Mg,Mn,Mo,Na,Ni,P,S,Se,Zn
YFR014C,1.635501066,0.252245053,0.436825483,0.173255647,0.33485415,0.825899221,0.335443311,0.734706791,0.884702286,0.347824299,0.37176279,0.191398992,0.250444213,0.681394068,0.962190373,0.161015316,1.214046549
YFR015C,-0.176886019,-0.230923641,-0.389085605,-0.468443341,0.037689783,-0.396786243,0.308862395,-0.579533064,0.17641714,-0.380641812,-0.330834186,-0.047755631,0.227048463,0.045841144,-0.247455497,-0.006292066,-0.591056881
YFR016C,0.103489005,0.968972507,0.472808741,-0.99251029,0.883798229,-1.167769933,-0.425926251,-0.53070959,0.141232997,0.310622334,-0.13954126,-0.58933247,0.078551193,-0.341924857,-0.205880398,-1.657858193,-0.054966612
YFR017C,0.717498235,1.389253888,0.382347843,0.708407844,0.855611448,0.570709465,-0.242624193,1.180171378,1.872872607,-0.363299264,-0.576951979,0.515249533,0.652655896,2.655900812,1.544654238,-1.433620861,0.532676589
YFR018C,0.269699505,0.288607575,0.448463719,0.793882456,0.651538917,-0.388119764,-0.434352759,-1.041581779,0.433432976,-0.4974016,-0.756854915,-0.256162077,0.808742753,-0.003495778,-0.015045664,0.687783962,0.238583525
YFR020W,-0.630878897,0.236757577,0.046440528,-0.275855113,-0.327968422,0.159731568,-0.508037199,0.23331503,0.090733076,0.798862657,-0.553560625,-0.054510777,0.137543636,0.11575146,-0.629817316,-0.072833795,0.181564476
YFR021W,0.148656417,-1.787543763,2.788555751,2.353164309,1.426786446,0.763966232,1.071822255,2.241254464,2.994515385,-0.13118056,-1.54715057,0.499487072,1.93241399,2.684884361,0.737922458,0.064987503,1.340581432
YFR022W,0.975596268,0.833671673,0.878188236,0.234054017,0.717696204,-0.31489401,0.231130607,1.165015484,1.90861154,1.618862704,0.197171103,-0.071144234,0.413549467,0.806375682,1.351350408,0.519508106,0.483677019
YFR023W,0.342599494,1.144573274,-0.559627132,-0.51370213,2.001926019,-0.659779187,0.109785928,2.489744058,1.757913709,-0.75557548,0.79518875,0.121581914,0.933743253,2.938888207,0.64674456,0.416890544,0.05847927
YFR024C,0.625541538,1.396659238,-0.609526972,1.048340868,-0.841722644,0.474486754,-0.53966029,-1.210007711,-0.503361038,0.245702738,-0.15709855,-0.173026878,-0.23547421,-1.205853199,1.499526853,0.320956711,0.101958508
YFR024C-A,0.307806748,0.120030742,-0.484581056,0,-0.825453041,1.479188893,-0.367789413,0.485454643,-0.633772407,-1.101236705,0.250410419,0.348909532,-0.370613558,-0.366347899,-0.373752864,0.098228495,0.135010826
YFR025C,0.022959713,0.619013922,-0.114458428,0.111355622,-0.226043187,-0.244933136,-0.515342022,0.480639351,0.107459201,0.156328779,-0.317669005,2.966592554,0.233787427,0.146837503,1.207088356,1.378756148,0.423459315
YFR026C,0.530235007,-1.037413859,-0.843334214,-0.067269854,-3.562395943,1.18839368,1.521592669,-0.48785485,-1.822634212,-0.335691236,-0.277037032,0.079780503,-0.346359235,0.15540508,-0.317060042,0.133172289,0.392541085
YFR027W,0.897928239,-0.746013242,0.609197978,0.663229481,0.217070983,0.282581696,1.089504722,1.57300209,1.1458504,1.569793332,2.212055294,0.149795312,0.487396369,0.974327538,1.098595652,-0.552161457,1.337631572
YFR028C,-1.494516186,-1.991607669,0.171323625,2.786094404,0.646589767,0.412750882,0.341054097,-0.907046761,1.877747717,-2.615010627,-1.691739716,0.451458717,0.920525399,0.074701981,-0.806924093,-0.35100479,0.158701168
YFR029W,-0.406837508,-0.358687764,0.337924215,-0.157398444,0.069897959,-0.171412929,-0.290785227,-0.573959291,0.510269627,0.139461949,0.622973983,0.225865647,0.022858081,-0.337911556,-0.022758801,-0.413947203,-0.290592064
YFR030W,-1.299016059,0.094897256,-0.447959767,0.88081133,-0.947424192,-0.309772465,-0.056180603,-0.503369551,-1.508623178,-0.518024484,0.054882169,-0.026314256,1.478521417,-0.275694083,-0.405311257,-0.21416359,-0.078765924
YFR031C,1.815190178,0.733469079,0.036224232,0.195815598,0.138298968,0.071651065,0.036616019,0.758801721,0.721158592,-0.366704427,0.005914533,1.114967074,2.094874058,1.382227406,0.36992314,0.307053302,0.298534697
YFR031C-A,0.707157453,0.717433848,-0.665601115,2.057686173,-0.578200445,0.016939992,0.009769427,-0.387025404,-0.147969284,-0.028619134,0.193760678,0.43241532,-0.066295882,0.169544728,0.248005156,0.318400405,-0.108392641
YFR032C,0.186003538,0.377049975,0.471217957,-0.123183268,-0.237320135,1.527785209,0.047326652,-1.641192815,0.110854429,1.702516222,0.198642932,3.039239604,0.199560179,-2.133581697,0.57883385,0.565005531,0.253959394
YFR032C-A,-0.555697203,0.350454032,-0.601519818,-0.180856408,-0.565088161,-0.255847566,-0.122772537,-0.257164853,-0.560290612,-0.052950726,-0.272867592,-0.549329397,-0.465582087,-0.08409326,-0.525319636,0.745568149,-0.037448439
YFR032C-B,-0.219029726,0.325505485,-0.170411132,0.390863394,-0.195190651,-0.195811648,0.033839914,-0.063090442,-0.094939238,-0.258029445,0.407583825,-0.077885255,-0.145071226,-0.36016266,0.439538927,1.14636945,-0.16347081
YFR033C,0.701744172,1.754886739,0.004319847,-0.756783158,0.065918257,-0.371866829,0.789632768,1.046997031,-0.01831789,0.970525364,0.723160117,-0.228027032,0.196498238,0.704936911,0.094661038,0.016476178,0.659947316
YFR034C,0.203522165,-0.66685873,-2.157354723,-0.690035967,-0.968147511,1.553116372,-0.587159154,-3.007140566,-1.381736537,-0.547362764,0.063662766,-0.409725217,-0.968809119,-3.703107096,-1.170728049,-0.8905472,-0.906522975
YFR034W-A,0.171766315,0.173835573,-1.126202014,0.399699823,-0.902080991,-0.503707974,0.233475572,-2.48886286,-2.09573424,-0.169114211,0.490785894,-1.04575199,-0.624447472,-2.744095698,-0.821207978,0.348301185,-0.433023987
YFR035C,-2.040489771,-0.896415109,-0.251426976,-0.79921276,0.065387757,-0.494823765,0.08819908,0.635290196,0.666271158,-0.199949012,0.928297896,0.600909602,0.214686547,0.256016491,-0.14141565,-0.306595828,-0.583707332
YFR037C,1.149294875,0.491677127,-1.249241867,0.324774104,-2.700966906,0.32662452,1.54955494,0.662921836,-0.758214667,-0.449906313,1.665829732,0.137470795,-0.655406614,1.123957919,0.922457448,0.102363746,0.434588123
YFR038W,-0.002577068,-0.061477232,-0.316550057,1.226378529,-0.321305978,0.162141766,-0.099930193,-0.432960114,-0.781619519,-0.257945573,0.904300153,-0.077707527,-0.067570675,-0.249292746,-0.41452179,-0.037442306,0.195441653
YFR039C,-0.461815499,2.264150645,-0.158445309,-0.117480619,0.055895459,1.326436262,-0.057006965,-0.114192545,0.24070297,0.161318452,0.116436048,-0.01216644,0.197560081,0.449408815,0.404797713,0.099204239,1.084358754
