ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YJL199C,-0.85582498,-0.6220048,-0.523224702,0.319430829,-0.042605294,0.463652446,0.076240837,-0.084450457,0.245376122,0.502626977,-0.432050384,-0.268305589,-0.174526181,-0.259349085
YJL200C,-0.220556421,0.829845093,-0.132783098,0.013798363,-0.097362226,0.352014286,0.112989194,0.334750321,-1.288465782,-0.277005708,-0.115930591,0.56624795,-0.321847973,0.093655031
YJL201W,-0.489756383,-0.349353843,-0.512939678,0.012812553,-0.567891498,0.24305997,0.194479149,-0.15089755,-0.255224685,0.924677586,-0.361855589,-0.061984953,0.466630258,0.044269819
YJL204C,1.482853835,-0.998313474,-4.973574987,0.173971931,0.161179783,-1.122904826,-0.350419756,0.936057875,1.313569676,0.986588097,-1.319664814,-1.579661594,-0.462273402,0.56958929
YJL206C,0.405889995,1.986804102,0.282662695,0.352387552,0.1412269,0.145705998,0.056431087,1.322195662,1.259560159,-1.348370061,0.94357152,0.477379901,0.279962111,-0.082708478
YJL206C-A,0.634854231,1.888601802,0.458264797,0.411240409,-0.392323482,0.374100373,0.320940762,1.156344409,0.916397625,-0.731716659,0.408210598,0.390669168,0.32722111,0.226869341
YJL207C,-0.502694643,-0.363767873,-0.653532972,0.005979969,-0.324707593,0.087889435,0.175103252,-0.425154644,-0.308106148,0.736828113,-0.288535057,0.220341804,0.071148885,0.224674462
YJL208C,0.401880606,1.670948312,0.217144959,0.516682284,-0.339515805,0.025472618,0.51600641,0.722093658,-0.007332681,-0.193699608,0.299424933,0.486948509,0.15183086,0.150494343
YJL209W,-0.543288472,0.707274209,1.328034264,-1.092643717,0.286537801,-3.727395306,0.725436583,-2.179548602,-3.142730685,-0.163079612,0.52711296,0.173497865,1.257961421,-0.650616206
YJL210W,0.424914986,1.609709915,0.179258545,0.122336816,0.162675611,0.042107292,-0.882516644,0.436308327,-0.330562003,-1.757433801,0.018475836,-0.354830061,-0.345912493,-0.344143698
YJL211C,-0.114612738,-0.405670158,-0.383943356,-0.076565103,0.327353868,0.922184652,-0.123645832,-0.12469045,-1.215843123,-0.316033848,-0.332226824,0.265161389,-0.141279306,0.517358255
YJL212C,0.684685081,1.639789106,0.227229973,0.06660062,0.203432715,-0.943596386,0.310353277,0.217395536,0.434337283,0.002391498,0.334011583,0.323436817,-0.076380095,-0.006281107
YJL213W,-0.325863878,0.682078637,-0.150877601,0.648281859,-0.659477931,-0.143000247,-0.058247973,0.163937246,-0.130100033,0.593467641,-0.199984628,0.031013107,-0.162842782,-0.690245444
YJL214W,-0.047881506,-0.318635869,-0.405445123,-0.237200913,-0.02543882,0.435421928,-0.174933803,-0.268096078,0.004277525,0.430185385,-0.214095222,0.179832419,-0.598568277,0.533423675
YJL215C,0.77263604,2.080348524,0.129617347,0.313169049,0.368374675,-0.564293269,0.215783625,0.948651836,1.690430171,-0.89741921,0.52686084,0.12488015,0.002341557,-0.030183766
YJL216C,0.323029339,1.930899877,0.102556818,0.022402481,-0.212233789,-0.482650571,-0.296392142,0.253801038,0.079089288,-0.506011799,0.294280224,-0.161147116,-0.327424218,0.1098998
YJL217W,-0.097510295,-0.260801962,-0.15962287,-0.290030206,0.349981539,-0.235770447,0.129689848,-0.383280479,-0.56464818,0.728209251,-0.161675949,0.067700684,-0.439725984,0.09629019
YJL218W,-0.022805427,-1.142415048,-0.196042242,0.199271517,-0.074929888,0.137050675,-0.290731277,-0.341598939,-0.074246972,0.802763595,0.050896482,0.037865734,-0.065935249,0.298493847
YJR001W,-0.229457469,-0.039675533,-0.11438298,0.080369218,-0.562271274,0.882133408,0.119505675,0.517879455,0.182659527,-0.274607958,-0.16724458,-0.046133221,0.090340591,0.039206633
YJR003C,-0.486263698,0.34787667,-0.239094899,-0.676064557,-0.475073607,0.155257508,0.158744784,-0.286570359,-0.235006574,-0.139994125,-0.029292823,0.278010885,-0.147190734,-0.107449339
YJR004C,-0.036746811,0.238881873,1.211356516,-0.705108192,-0.277540023,-3.124124752,0.75961168,-2.388154082,-2.93006999,-0.856534719,0.395059619,0.151629694,0.408616677,0.053834782
YJR005C-A,-0.061536013,-1.246201126,-1.688059324,-0.562579477,-0.052528941,-0.100395458,-3.367864437,-0.112597837,-0.61671682,-3.359266733,-1.131704864,-2.470260361,0.879717379,1.534644605
YJR005W,0.304872495,0.341335927,0.210017985,0.231174703,-1.147398438,-0.40607112,0.027249529,-0.340397033,-0.069047426,1.143779164,-0.016416212,-0.077092794,0.254050766,-0.031816152
YJR008W,0.901323463,-0.338870827,-0.25690062,0.161497761,-0.296524508,0.306894707,0.048796417,-0.159080261,0.003555998,0.125088209,-0.14257348,0.058005977,-0.746098547,0.363684399
YJR009C,0.741774931,-0.121350303,-0.252974518,0.196263918,0.192501842,0.060423278,-0.157174177,0.071991896,0.209668655,0.376137033,-0.159430403,0.073468972,-0.285571832,-0.045166809
YJR010C-A,-0.119734388,0.013018249,-0.045199483,-0.166467727,-0.701529443,0.032130015,0.523415462,-0.030917829,-0.442369368,0.144775861,-0.172314024,-0.026935892,-0.638114669,-0.199512532
YJR010W,-0.404531353,-0.664203118,-0.882786855,-1.815434575,-1.04258642,1.51823389,-0.023978425,0.306132309,-1.513479033,-1.282850969,0.018338479,0.587277239,0.117104968,-1.304040256
YJR011C,0.057754381,-0.177347978,0.475705464,0.664903016,-1.136974834,-0.447122561,1.047528508,-0.418343825,-0.592859185,0.816967608,0.467807108,0.461675576,-0.022875848,0.512650971
YJR014W,-0.209389603,-0.243324891,-0.465816353,-0.316367003,-0.94190503,0.890233107,0.041860685,0.749301732,0.694082834,-0.064717674,-0.429456032,-0.369746047,-0.718408587,-0.732244245
YJR015W,0.136477032,0.740923906,0.180038067,-0.208354665,-0.961747631,-0.198941168,-0.057197068,0.452061531,0.41632404,-0.569432722,0.04395197,-0.448116868,-0.450237449,-0.796892551
YJR018W,1.550233068,-2.136022994,-2.074431514,1.090527951,0.633846099,-0.626578904,-2.088767538,-1.303895626,-0.893728059,-2.741946833,-2.37488847,-1.166083528,-0.055350189,1.673075014
YJR019C,-0.012448452,0.289905275,-0.155315407,-0.123478261,0.773504319,0.408392001,-0.590138743,0.176907204,0.382475378,-0.205188065,0.028805753,0.069086539,0.215707477,0.117475023
YJR020W,-0.06221806,0.050051737,-0.293548683,0.040887147,-0.042282358,0.273167158,0.116243095,0.443131162,0.699097534,-0.024054769,-0.287582822,-0.0381105,0.021948239,-0.308834071
YJR021C,-0.128370238,0.516638954,0.247799237,-0.038228618,0.261954405,0.031134945,0.072020301,-0.007853446,-0.329193452,-0.099203449,0.28841576,0.352744235,-0.185078252,0.1294926
YJR024C,-0.073435687,0.269451721,0.162540243,-0.004625046,1.479590228,0.117751866,0.242805406,-0.280146966,0.217875187,-0.065010339,0.180341971,0.194867543,-0.132314684,-0.172205089
YJR025C,0.029975509,0.366532686,0.687854951,0.145150244,0.161195519,-0.632282931,0.704416607,-0.739825532,-0.624756094,0.266521547,0.350534071,0.599544313,0.725549972,0.882896427
YJR026W,-0.046687379,0.152875181,-0.155975895,0.415884221,0.369236756,-0.141592719,0.483126856,-0.208109112,-0.100734681,1.038586162,0.195479136,0.212819897,0.517537361,-0.175434339
YJR030C,-0.221273145,0.125970885,0.005563488,0.214022264,-0.699243857,0.117486039,0.379336253,-0.167943372,0.108292255,-0.102590835,-0.014685436,0.078667035,0.142046594,-0.169300245
YJR031C,-0.281208351,-0.082457505,0.082305299,-0.362140589,-0.466316289,0.012580279,-0.125638953,0.729698833,-0.844858662,0.37803029,0.015931746,-0.171265702,0.17097899,0.175046255
YJR032W,-0.048184506,-0.022374504,-0.275867777,0.141206248,-0.017489039,1.729528592,-1.046357425,-7.81E-17,0.334965443,-0.707973662,-0.721206176,-0.717818719,-0.012196815,0.512065105
YJR033C,0.359558588,0.084488028,0.181606791,0.056851817,0.476603889,-1.011650186,-0.470017825,-1.681205322,0.292733552,0.736397424,0.215379714,-2.034430137,0.274009719,0.326445873
YJR034W,-2.795333282,0.098026913,-0.084581627,0.826328857,-0.237945939,-0.090375256,0.627354102,1.018114293,-0.002421331,2.023454737,-0.22287882,0.424617432,-0.100729154,0.26986741
YJR035W,0.043356242,-0.123782826,-0.053515421,-0.116295486,-0.15585281,0.265218075,-0.377504215,0.172362967,0.312966365,-0.180411986,-0.181163412,-0.05567424,2.0725722,-0.559453435
