"ORF","term"
"YBL105C","unspecific"
"YBR003W","unspecific"
"YBR012W-B","unspecific"
"YBR025C","unspecific"
"YBR062C","unspecific"
"YBR066C","unspecific"
"YBR074W","unspecific"
"YBR091C","unspecific"
"YBR098W","unspecific"
"YBR111C","unspecific"
"YBR114W","unspecific"
"YBR117C","unspecific"
"YBR125C","unspecific"
"YBR208C","unspecific"
"YBR218C","unspecific"
"YBR228W","unspecific"
"YBR281C","unspecific"
"YBR286W","unspecific"
"YCL019W","unspecific"
"YCL033C","unspecific"
"YCL057W","unspecific"
"YCR014C","unspecific"
"YCR036W","unspecific"
"YCR066W","unspecific"
"YCR087C-A","unspecific"
"YDL006W","unspecific"
"YDL008W","unspecific"
"YDL017W","unspecific"
"YDL047W","unspecific"
"YDL048C","unspecific"
"YDL074C","unspecific"
"YDL090C","unspecific"
"YDL098C","unspecific"
"YDL100C","unspecific"
"YDL104C","unspecific"
"YDL128W","unspecific"
"YDL134C","unspecific"
"YDL140C","unspecific"
"YDL164C","unspecific"
"YDL167C","unspecific"
"YDL188C","unspecific"
"YDL209C","unspecific"
"YDL216C","unspecific"
"YDL226C","unspecific"
"YDL227C","unspecific"
"YDL240W","unspecific"
"YDR034C-D","unspecific"
"YDR043C","unspecific"
"YDR049W","unspecific"
"YDR066C","unspecific"
"YDR075W","unspecific"
"YDR096W","unspecific"
"YDR098C-B","unspecific"
"YDR101C","unspecific"
"YDR110W","unspecific"
"YDR127W","unspecific"
"YDR129C","unspecific"
"YDR143C","unspecific"
"YDR146C","unspecific"
"YDR151C","unspecific"
"YDR173C","unspecific"
"YDR178W","unspecific"
"YDR182W","unspecific"
"YDR191W","unspecific"
"YDR210C-D","unspecific"
"YDR210W-B","unspecific"
"YDR216W","unspecific"
"YDR236C","unspecific"
"YDR253C","unspecific"
"YDR256C","unspecific"
"YDR261C-D","unspecific"
"YDR261W-B","unspecific"
"YDR263C","unspecific"
"YDR266C","unspecific"
"YDR272W","unspecific"
"YDR287W","unspecific"
"YDR313C","unspecific"
"YDR316W-B","unspecific"
"YDR323C","unspecific"
"YDR336W","unspecific"
"YDR347W","unspecific"
"YDR365W-B","unspecific"
"YDR370C","unspecific"
"YDR379W","unspecific"
"YDR386W","unspecific"
"YDR390C","unspecific"
"YDR399W","unspecific"
"YDR415C","unspecific"
"YDR419W","unspecific"
"YDR430C","unspecific"
"YDR436W","unspecific"
"YDR452W","unspecific"
"YDR460W","unspecific"
"YDR463W","unspecific"
"YDR481C","unspecific"
"YDR487C","unspecific"
"YDR500C","unspecific"
"YDR502C","unspecific"
"YDR524C","unspecific"
"YDR539W","unspecific"
"YEL020W-A","unspecific"
"YEL029C","unspecific"
"YEL031W","unspecific"
