"Sample Name","23_Na_He","24_Mg_He","24_Mg_HEHe","31_P_HEHe","34_S_HEHe","39_K_HEHe","39_K_H2","40_Ca_H2","44_Ca_HEHe","55_Mn_He","56_Fe_HEHe","56_Fe_H2","59_Co_He","63_Cu_He","66_Zn_He","95_Mo_He","115_In_He","115_In_HEHe","6_Li ISTD_He","45_Sc ISTD_He","45_Sc ISTD_HEHe","45_Sc ISTD_H2","72_Ge ISTD_He","72_Ge ISTD_HEHe","72_Ge ISTD_H2","209_Bi ISTD_He","209_Bi ISTD_HEHe"
"PL3-P1-A3",500528.876666667,135963775.75,197923988.16,26024351.87,5798761.51333333,311658330.683333,1163341006.69333,360971855.766667,3651533.79666667,1016101.47666667,1685368.08666667,2003882.52666667,385.383333333333,525017.97,362398.06,1300799.94,488898.963333333,1494148.10666667,2284.13333333333,96682.5166666667,181356.976666667,642806.66,63824.4566666667,114634.686666667,135104.836666667,1081999.39666667,1502424.06
"PL3-P1-B3",487481.06,133224494.68,194124503.773333,25547075.6333333,5772598.93666667,308671453.913333,1129159599.82333,349863200.996667,3631804.83,1002183.76666667,1750298.53666667,2062834.98333333,387.38,511041.49,351598.29,1280402.51333333,486226.676666667,1486588.02,2235.82333333333,95536.6866666667,180538.413333333,629942.373333333,63343.9966666667,113337.843333333,130227.793333333,1050300.28333333,1486718.34333333
"PL3-P1-C3",488657.853333333,130980569.16,189945079.393333,25297602.68,5685683.49666667,305193859.773333,1135087167.18333,350777586.7,3569263.32666667,995161.446666667,1753677.4,2058548.26333333,391.383333333333,506737.006666667,354103.643333333,1287379.86333333,485592.746666667,1487664.27666667,2375.77333333333,95477.8966666667,179881.65,631034.98,62566.8966666667,111290.24,131000.16,1057033.1,1491399.39
"PL3-P1-D3",505508.136666667,135488834.646667,195843419.306667,26053414.11,5873195.46,311260773.143333,1172637129.15333,366892039.086667,3638928.86333333,1038018.93333333,1804612.82666667,2166209.24,403.713333333333,520467.153333333,359162.213333333,1306553.99,483458.04,1479808.84333333,2309.13666666667,96143.58,179969.25,645484.77,61664.53,111341.1,133552.556666667,1052719.64333333,1483885.07333333
"PL3-P1-E3",514837.133333333,137356493.506667,193472728.226667,24993083.0566667,5712212.10666667,301179842.566667,1155251103.74333,361237482.563333,3569484.96666667,1008600.41333333,1766055.59333333,2141899.56,400.716666666667,516819.926666667,345350.046666667,1289481.63,485554.37,1486558.99666667,2750.66666666667,96826.03,179710.893333333,652748.013333333,63399.9466666667,112650.62,136258.513333333,1069818.81666667,1475860.18
"PL3-P1-A4",504387.69,141003442.343333,200920868.113333,26991806.9633333,7769257.72,316944673.51,1222146103.05,370872638.183333,3649581.72666667,1031961.12,189487.643333333,231083.526666667,390.05,524153.086666667,356765.683333333,1299600.24666667,490632.52,1494946.38,2472.41666666667,98254.6366666667,182572.526666667,671080.903333333,64526.9133333333,114556.7,142454.333333333,1077951.53333333,1493766.76333333
"PL3-P1-B4",508674.576666667,142383745.653333,199476501.47,27649653.09,9914871.15333333,314595908.16,1198002240.04,367211162.53,3668034.33666667,1021333.71,190752.886666667,228944.143333333,396.716666666667,526855.843333333,365999.453333333,1294735.81333333,487307.39,1492449.58333333,2530.72666666667,98658.2966666667,181951.376666667,659849.473333333,63887.2366666667,114397.87,140141.986666667,1073786.04,1497117.01
"PL3-P1-C4",507289.006666667,142932505.65,198366368.153333,27770822.8733333,11598953.8366667,312015417.756667,1217558355.46667,376887869.623333,3682469.62,1030030.43666667,194814.62,236958.256666667,390.716666666667,532323.803333333,365374.146666667,1302212.48333333,487625.076666667,1476824.04666667,2674.02666666667,98920.31,182013.093333333,669512.396666667,63961.6233333333,113905.61,142439.236666667,1087049.52666667,1491992.58
"PL3-P1-D4",514353.6,145033453.396667,200082383.686667,28552914.7666667,13654955.0566667,313602684.97,1233267904.46,378325476.59,3661065.10333333,1027968.11333333,191409.55,235835.393333333,390.383333333333,532064.886666667,368029.91,1311490.51333333,481814.683333333,1477464.77,2579.05333333333,97914.2633333334,180216.463333333,677460.906666667,63563.8433333333,112990.046666667,142641.49,1069561.74666667,1490270.64333333
"PL3-P1-E4",519361.733333333,147968323.35,197983192.606667,28482236.03,15297950.3833333,310068774.52,1224337347.55,378679469.01,3649076.42333333,1027617.58333333,188769.756666667,232239.99,389.716666666667,530824.143333333,363514.156666667,1309316.24,480314.79,1467711.88333333,2612.38,99073.01,179536.063333333,669448.18,63541.5033333333,111398.033333333,141334.326666667,1073410.47333333,1492230.92333333
"PL3-P1-A5",123876363.153333,147924595.573333,193291666.01,24751055.1833333,6071391.86333333,305328477.723333,1248694130.14667,383302007.866667,3591126.61,1021378.5,163022.106666667,207697.033333333,419.383333333333,520540.696666667,351258.98,602617.77,480848.65,1471764.07666667,2722.34333333333,98897.6066666667,175883.383333333,680897.133333333,63986.8566666667,110782.823333333,145248.19,1072462.23666667,1474836.53666667
"PL3-P1-B5",125110237.113333,148065442.236667,190177583.83,24590816.8233333,6194684.95,303615608.243333,1238064714.43333,382070011.863333,3596386.86666667,1029174.72,156590.043333333,199970.18,393.05,526608.52,354314.19,586012.64,483228.853333333,1446097.35,2768.99,99834.2633333333,175187.353333333,683792.053333333,64691.7466666667,110147.123333333,145747.866666667,1070873.01666667,1450371.97333333
"PL3-P1-C5",123977197.743333,149774858.88,192898432.68,24772033.9466667,6462749.8,303994720.68,1243384821.02333,380828147.096667,3599718.89333333,1035644.70666667,149001.67,191505.45,427.716666666667,525466.653333333,354623.01,609149.846666667,492946.613333333,1471348.52666667,2825.66333333333,101282.81,178239.576666667,691080.476666667,65399.2833333333,111992.086666667,147547.576666667,1091501.93666667,1461410.52666667
"PL3-P1-D5",126748817.073333,152217664.4,193611021.56,24971752.59,6587535.78,307057980.496667,1257853942.96667,383284070.106667,3580000.68333333,1038779.29333333,147758.123333333,189333.996666667,419.72,525950.476666667,357047.263333333,610796.216666667,490159.83,1462858.67,2875.63333333333,101631.08,177204.403333333,690051.64,64707.54,112187.806666667,147960.03,1080542.55666667,1462003.64333333
"PL3-P1-E5",126321633.976667,152939361.053333,192864894.903333,24841737.4166667,6731078.13666667,305333582.826667,1261437633.2,388917009.33,3612501.35666667,1041531.76666667,146017.666666667,189141.346666667,392.716666666667,528068.31,362472.07,607302.28,499374.93,1484413.89666667,2882.3,103045.763333333,178572.29,704866.056666667,65626.88,112287.716666667,151677.14,1098563.73,1490289.64333333
"PL3-P1-A8",293289543.56,153615891.043333,183827259.483333,23384874.5433333,5540833.63333333,292984747.76,1266221643.70667,382154747.94,3442590.43666667,1045274.90333333,1673478.02333333,2213529.13666667,425.72,6539.84,354558.28,1326756.11666667,488405.336666667,1427482.46333333,2897.3,103118.846666667,171102.51,691783.526666667,64396.3266666667,107436.95,147713.006666667,1078269.86333333,1450243.27
"PL3-P1-B8",304879222.646667,151466071.076667,189893021.613333,24363228.8933333,5815341.92333333,302829311.98,1264139214.68333,386235424.526667,3539427.31666667,1022730.76666667,1584734.19,2078318.66,413.386666666667,6372.41,349130.906666667,1294210.64666667,484265.35,1431492,2902.29,100645.773333333,174170.79,688856.353333333,63265.0466666667,108601.963333333,146079.62,1058689.23666667,1416508.65333333
"PL3-P1-C8",330970495.013333,151320751.08,189019497.183333,23855125.74,5717040.13333333,299232041.5,1244873910.05667,383628907.003333,3551677.06,1028813.21,1509727.26,1968701.67666667,418.716666666667,6169.96666666667,349155,1301587.2,484821.886666667,1427290.60666667,2940.62666666667,100973.166666667,173788.483333333,684878.536666667,63630.1033333333,107890.29,145330.69,1057489.24,1416825.72333333
"PL3-P1-D8",361485535.72,147106567.81,181032592.86,22496235.4966667,5439240.84666667,285664370.976667,1194839570.81667,366981367.92,3374850.67666667,972566.403333333,1589791.22333333,2102050.01333333,389.713333333333,7060.46666666667,331613.443333333,1247507.45666667,480896.413333333,1406814.12666667,2870.64,100548.963333333,171072.81,680651.263333333,62953.62,106397.653333333,145668.013333333,1054958.39333333,1402943.78
"PL3-P1-E8",399550158.69,152411657.726667,188244257.193333,23705723.9666667,5657390,297804450.63,1244666489.31,376299239.87,3466841.98666667,1029867.00333333,1509634.77,1986889.36666667,414.05,6172.30333333333,342626.176666667,1274601.33,489881.14,1439628.90333333,2862.31,102651.133333333,175237.953333333,695457.06,63728.9533333333,108039.816666667,147217.236666667,1072569.40666667,1417628.07
"PL3-P1-A9",175189719.1,155158287.69,186230581.67,23761343.6966667,5633940.15666667,295826886.466667,1264149958.76,388585524.103333,3501055.13666667,1059021.89333333,185397.676666667,245313.143333333,424.72,533730.703333333,360396.766666667,1297964.07333333,487825.713333333,1434324.03333333,3110.59333333333,102582,172114.143333333,694869.626666667,64495.6966666667,108344.926666667,150086.49,1081797.71333333,1447258.85333333
"PL3-P1-B9",202456680.346667,154668295.473333,182237019.51,23228288.38,5525588.19333333,291231477.886667,1250428117.4,385535612.003333,3447720.83666667,1053568.34333333,182977.716666667,243489.503333333,434.39,523966.926666667,354134.173333333,1291556.88333333,483062.623333333,1405424.10666667,3120.58666666667,102219.963333333,167704.81,688826.04,63185.4433333333,106697.446666667,147860.296666667,1075324.37,1425131.01
"PL3-P1-C9",223306578.13,154486452.143333,178813235.11,22933818.0966667,5408788.3,284834984.95,1259310532.84,383837364.28,3385704.84,1054659.09666667,181849.826666667,244992.436666667,410.05,523670.206666667,352552.99,1288142.74666667,480916.256666667,1408322.81,3092.25666666667,101586.413333333,166014.85,691100.146666667,63666.0333333333,105604.076666667,148575.993333333,1078349.61666667,1427877.89
"PL3-P1-D9",246537915.316667,154140862.15,181910790.62,23024450.66,5521362.52,287220270.153333,1231656639.91667,380970689.276667,3439389.50666667,1044759.33,181706.55,241487.87,415.716666666667,522583.076666667,358437.116666667,1244349.43333333,483843.946666667,1424636.28666667,3125.59333333333,103742.15,171333.226666667,694577.326666667,64560.3333333333,107849.193333333,150202.203333333,1081474.57666667,1435444.51333333
"PL3-P1-E9",278884738.556667,155609905.46,181166668.41,23056803.23,5458149.24,287210934.15,1255528817.92333,388362042.036667,3440632.45333333,1056315.44666667,181624.883333333,244457.716666667,435.053333333333,527021.08,351395.86,1305323.87,468097.92,1369856.55,2997.26,99773.92,162336.09,673125.493333333,61281.2333333333,102605.553333333,143886.486666667,1044713.59666667,1378569.35333333
"PL3-P1-A10",122610255.31,150115042.206667,167503163.06,20970728.2533333,4684535.32333333,269204117.966667,1230060764.1,367443233.52,3165396.12333333,1004259.83333333,1442686.41666667,1987466.55333333,380.38,536055.993333333,340897.066666667,1222454.83333333,482895.123333333,1398379.8,3210.54,101278.023333333,159222.926666667,680775.636666667,64356.88,103857.84,149581.45,1088046.12666667,1440755.45
"PL3-P1-B10",122837331.783333,151638856.626667,175319501.83,21932880.9866667,4879769.35,282513390.106667,1234569058.90333,368866912.23,3279261.50666667,1008378.15,1461074.82,1970518.62666667,383.046666666667,536287.483333333,341302.51,1224357.29666667,475398.5,1399099.31,3237.23,101179.276666667,164087.256666667,680193.2,63622.53,105455.713333333,148082.356666667,1073485.18666667,1422195.10666667
