"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Mo 0.2","Mo",0.239,"Ca",604.866717235752,747.132478041544,0.809584290621775
"Na 0.02","Na",0.041,"Ca",779.200282381198,747.132478041544,1.04292117567116
"Mg 0.5","Mg",0.457,"Ca",905.865436558776,747.132478041544,1.21245624194161
"Mo 0.05","Mo",0.062,"Ca",601.261553233792,747.132478041544,0.80475895628293
"Ca 0.1","Ca",0.115,"Ca",306.15513562294,747.132478041544,0.409773560407203
"Fe 0.2","Fe",0.317,"Ca",670.417860587942,747.132478041544,0.897321265360202
"Mg 5","Mg",4.514,"Ca",470.936481997936,747.132478041544,0.630325271406218
"Zn 0.5","Zn",0.491,"Ca",785.036308546777,747.132478041544,1.05073240906966
"Mg 2","Mg",1.79,"Ca",625.253857363298,747.132478041544,0.836871472917727
"Zn 5","Zn",6.002,"Ca",809.138317434695,747.132478041544,1.08299176011688
"Zn 0.01","Zn",0.049,"Ca",1142.45490670983,747.132478041544,1.52911958760586
"Ca 0.5","Ca",0.53,"Ca",542.09181793168,747.132478041544,0.725563181716666
"Mo 2","Mo",2.42,"Ca",715.94151136467,747.132478041544,0.958252428326185
"Mo 0.1","Mo",0.12,"Ca",610.645384713682,747.132478041544,0.817318752243731
"Na 0.5","Na",0.439,"Ca",852.745471193886,747.132478041544,1.14135778627799
"Cu 0","Cu",0.011,"Ca",709.184013456744,747.132478041544,0.949207850414596
"Zn 0.02","Zn",0.049,"Ca",1128.21474815558,747.132478041544,1.51005983719643
"Ca 2","Ca",2.207,"Ca",940.614920825782,747.132478041544,1.25896671403097
"Mg 5","Mg",4.514,"Ca",493.958659771043,747.132478041544,0.661139321724917
"Cu 0.05","Cu",0.074,"Ca",724.817247675106,747.132478041544,0.970132163943759
"Cu 20","Cu",22.122,"Ca",797.894369617721,747.132478041544,1.06794229011331
"Mn 0.1","Mn",0.137,"Ca",681.803028206827,747.132478041544,0.912559751108713
"Zn 0.02","Zn",0.049,"Ca",1133.90129981433,747.132478041544,1.51767100633427
"Ca 5","Ca",5.658,"Ca",1236.0611351715,747.132478041544,1.65440691108969
"Mn 0.5","Mn",0.542,"Ca",695.039394356731,747.132478041544,0.930275974856073
"Fe 10","Fe",9.185,"Ca",731.569231785651,747.132478041544,0.979169361909298
"Mn 0.1","Mn",0.137,"Ca",687.107259401112,747.132478041544,0.919659203147244
"Cu 0.02","Cu",0.035,"Ca",705.865445283491,747.132478041544,0.944766110467816
"K 5","K",5.208,"Ca",642.814579135137,747.132478041544,0.860375633542454
"Ca 2","Ca",2.207,"Ca",908.046430766695,747.132478041544,1.21537539520026
"Mn 0.2","Mn",0.223,"Ca",671.259177581827,747.132478041544,0.898447326692847
"K 0.2","K",0.211,"Ca",590.750213008877,747.132478041544,0.790690045435327
"Mn 0","Mn",0.007,"Ca",642.278032285047,747.132478041544,0.859657492026914
"Cu 2","Cu",2.269,"Ca",757.880812939759,747.132478041544,1.01438611653771
"Na 10","Na",8.783,"Ca",655.188148523221,747.132478041544,0.876937046346403
"Mg 0.1","Mg",0.097,"Ca",1021.10669045577,747.132478041544,1.36670098070477
"Zn 2","Zn",2.421,"Ca",644.922878355618,747.132478041544,0.863197488143136
"Mg 0.05","Mg",0.045,"Ca",1196.95249029587,747.132478041544,1.60206191736362
"Mn 0.2","Mn",0.223,"Ca",685.354919373303,747.132478041544,0.917313782382773
"Fe 0.2","Fe",0.317,"Ca",659.486130366461,747.132478041544,0.882689683220798
"Mn 0.05","Mn",0.062,"Ca",813.948714447892,747.132478041544,1.08943023944227
