"","ORF","term"
"551","YLR410W-B","unspecific"
"552","YLR417W","unspecific"
"553","YLR420W","unspecific"
"554","YLR427W","unspecific"
"555","YLR432W","unspecific"
"556","YLR433C","unspecific"
"557","YLR451W","unspecific"
"558","YML004C","unspecific"
"559","YML014W","unspecific"
"560","YML016C","unspecific"
"561","YML022W","unspecific"
"562","YML035C","unspecific"
"563","YML039W","unspecific"
"564","YML041C","unspecific"
"565","YML045W","unspecific"
"566","YML054C","unspecific"
"567","YML056C","unspecific"
"568","YML057W","unspecific"
"569","YML068W","unspecific"
"570","YML072C","unspecific"
"571","YML076C","unspecific"
"572","YML081W","unspecific"
"573","YML099C","unspecific"
"574","YML107C","unspecific"
"575","YMR009W","unspecific"
"576","YMR015C","unspecific"
"577","YMR019W","unspecific"
"578","YMR021C","unspecific"
"579","YMR026C","unspecific"
"580","YMR037C","unspecific"
"581","YMR038C","unspecific"
"582","YMR045C","unspecific"
"583","YMR050C","unspecific"
"584","YMR058W","unspecific"
"585","YMR070W","unspecific"
"586","YMR073C","unspecific"
"587","YMR075W","unspecific"
"588","YMR080C","unspecific"
"589","YMR083W","unspecific"
"590","YMR089C","unspecific"
"591","YMR100W","unspecific"
"592","YMR105C","unspecific"
"593","YMR108W","unspecific"
"594","YMR113W","unspecific"
"595","YMR118C","unspecific"
"596","YMR119W","unspecific"
"597","YMR127C","unspecific"
"598","YMR136W","unspecific"
"599","YMR137C","unspecific"
"600","YMR162C","unspecific"
"601","YMR168C","unspecific"
"602","YMR176W","unspecific"
"603","YMR182C","unspecific"
"604","YMR201C","unspecific"
"605","YMR205C","unspecific"
"606","YMR207C","unspecific"
"607","YMR214W","unspecific"
"608","YMR223W","unspecific"
"609","YMR224C","unspecific"
"610","YMR231W","unspecific"
"611","YMR234W","unspecific"
"612","YMR247C","unspecific"
"613","YMR262W","unspecific"
"614","YMR267W","unspecific"
"615","YMR272C","unspecific"
"616","YMR278W","unspecific"
"617","YMR280C","unspecific"
"618","YMR300C","unspecific"
"619","YMR303C","unspecific"
"620","YMR318C","unspecific"
"621","YMR323W","unspecific"
"622","YNL001W","unspecific"
"623","YNL008C","unspecific"
"624","YNL009W","unspecific"
"625","YNL023C","unspecific"
"626","YNL027W","unspecific"
"627","YNL036W","unspecific"
"628","YNL037C","unspecific"
"629","YNL040W","unspecific"
"630","YNL045W","unspecific"
"631","YNL049C","unspecific"
"632","YNL054W-B","unspecific"
"633","YNL064C","unspecific"
"634","YNL072W","unspecific"
"635","YNL077W","unspecific"
"636","YNL083W","unspecific"
"637","YNL084C","unspecific"
"638","YNL088W","unspecific"
"639","YNL097C","unspecific"
"640","YNL102W","unspecific"
"641","YNL111C","unspecific"
"642","YNL116W","unspecific"
"643","YNL118C","unspecific"
"644","YNL129W","unspecific"
"645","YNL130C","unspecific"
"646","YNL141W","unspecific"
"647","YNL155W","unspecific"
"648","YNL168C","unspecific"
"649","YNL200C","unspecific"
"650","YNL204C","unspecific"
"651","YNL207W","unspecific"
"652","YNL218W","unspecific"
"653","YNL220W","unspecific"
"654","YNL227C","unspecific"
"655","YNL238W","unspecific"
"656","YNL240C","unspecific"
"657","YNL247W","unspecific"
"658","YNL250W","unspecific"
"659","YNL255C","unspecific"
"660","YNL256W","unspecific"
"661","YNL259C","unspecific"
"662","YNL262W","unspecific"
"663","YNL284C-B","unspecific"
"664","YNL299W","unspecific"
"665","YNL310C","unspecific"
"666","YNR006W","unspecific"
"667","YNR016C","unspecific"
"668","YNR020C","unspecific"
"669","YNR021W","unspecific"
"670","YNR027W","unspecific"
"671","YNR032W","unspecific"
"672","YNR052C","unspecific"
"673","YNR057C","unspecific"
"674","YNR060W","unspecific"
"675","YNR063W","unspecific"
"676","YOL013C","unspecific"
"677","YOL033W","unspecific"
"678","YOL043C","unspecific"
"679","YOL049W","unspecific"
"680","YOL054W","unspecific"
"681","YOL057W","unspecific"
"682","YOL061W","unspecific"
"683","YOL064C","unspecific"
"684","YOL066C","unspecific"
"685","YOL068C","unspecific"
"686","YOL086C","unspecific"
"687","YOL089C","unspecific"
"688","YOL098C","unspecific"
"689","YOL103W-B","unspecific"
"690","YOL115W","unspecific"
"691","YOL122C","unspecific"
"692","YOL125W","unspecific"
"693","YOL133W","unspecific"
"694","YOL138C","unspecific"
"695","YOL142W","unspecific"
"696","YOL152W","unspecific"
"697","YOL153C","unspecific"
"698","YOL154W","unspecific"
"699","YOL164W","unspecific"
"700","YOR005C","unspecific"
"701","YOR020C","unspecific"
"702","YOR022C","unspecific"
"703","YOR025W","unspecific"
"704","YOR031W","unspecific"
"705","YOR033C","unspecific"
"706","YOR040W","unspecific"
"707","YOR052C","unspecific"
"708","YOR056C","unspecific"
"709","YOR064C","unspecific"
"710","YOR065W","unspecific"
"711","YOR077W","unspecific"
"712","YOR086C","unspecific"
"713","YOR090C","unspecific"
"714","YOR091W","unspecific"
"715","YOR113W","unspecific"
"716","YOR116C","unspecific"
"717","YOR119C","unspecific"
"718","YOR125C","unspecific"
"719","YOR127W","unspecific"
"720","YOR128C","unspecific"
"721","YOR136W","unspecific"
"722","YOR142W-B","unspecific"
"723","YOR151C","unspecific"
"724","YOR155C","unspecific"
"725","YOR156C","unspecific"
"726","YOR162C","unspecific"
"727","YOR163W","unspecific"
"728","YOR172W","unspecific"
"729","YOR191W","unspecific"
"730","YOR192C-B","unspecific"
"731","YOR196C","unspecific"
"732","YOR207C","unspecific"
"733","YOR210W","unspecific"
"734","YOR226C","unspecific"
"735","YOR241W","unspecific"
"736","YOR256C","unspecific"
"737","YOR257W","unspecific"
"738","YOR258W","unspecific"
"739","YOR274W","unspecific"
"740","YOR291W","unspecific"
"741","YOR335C","unspecific"
"742","YOR337W","unspecific"
"743","YOR341W","unspecific"
"744","YOR343W-B","unspecific"
"745","YOR346W","unspecific"
"746","YOR347C","unspecific"
"747","YOR356W","unspecific"
"748","YOR360C","unspecific"
"749","YOR363C","unspecific"
"750","YOR380W","unspecific"
"751","YOR381W","unspecific"
"752","YOR384W","unspecific"
"753","YOR393W","unspecific"
"754","YPL015C","unspecific"
"755","YPL016W","unspecific"
"756","YPL021W","unspecific"
"757","YPL028W","unspecific"
"758","YPL036W","unspecific"
"759","YPL038W","unspecific"
"760","YPL042C","unspecific"
"761","YPL047W","unspecific"
"762","YPL048W","unspecific"
"763","YPL054W","unspecific"
"764","YPL059W","unspecific"
"765","YPL060C-A","unspecific"
"766","YPL069C","unspecific"
"767","YPL086C","unspecific"
"768","YPL096W","unspecific"
"769","YPL103C","unspecific"
"770","YPL111W","unspecific"
"771","YPL117C","unspecific"
"772","YPL132W","unspecific"
"773","YPL133C","unspecific"
"774","YPL135W","unspecific"
"775","YPL138C","unspecific"
"776","YPL148C","unspecific"
"777","YPL167C","unspecific"
"778","YPL179W","unspecific"
"779","YPL181W","unspecific"
"780","YPL187W","unspecific"
"781","YPL207W","unspecific"
"782","YPL214C","unspecific"
"783","YPL230W","unspecific"
"784","YPL231W","unspecific"
"785","YPL237W","unspecific"
"786","YPL248C","unspecific"
"787","YPL252C","unspecific"
"788","YPL257W-B","unspecific"
"789","YPL268W","unspecific"
"790","YPL273W","unspecific"
"791","YPL281C","unspecific"
"792","YPR008W","unspecific"
"793","YPR010C","unspecific"
"794","YPR013C","unspecific"
"795","YPR015C","unspecific"
"796","YPR017C","unspecific"
