Cluster,ORF,Gene,Ag_10uM_Fold Change,Ag_10uM_P-value,Ag_20uM_Fold Change,Ag_20uM_P-value,As_400uM_Fold Change,As_400uM_P-value,As_1250uM_Fold Change,As_1250uM_P-value,Cd_5uM_Fold Change,Cd_5uM_P-value,Cd_25uM_Fold Change,Cd_25uM_P-value,Cr_400uM_Fold Change,Cr_400uM_P-value,Cr_1700uM_Fold Change,Cr_1700uM_P-value,Cu_5000uM_Fold Change,Cu_5000uM_P-value,Cu_9000uM_Fold Change,Cu_9000uM_P-value,Hg_19uM_Fold Change,Hg_19uM_P-value,Hg_47uM_Fold Change,Hg_47uM_P-value,Zn_1000uM_Fold Change,Zn_1000uM_P-value,Zn_2000uM_Fold Change,Zn_2000uM_P-value
I,YDL118W,YDL118W,1.63245,7.4664E-14,2.25683,2.03496E-26,2.10223,1.72579E-21,2.01618,8.3289E-15,1.65386,2.19345E-41,1.61965,1.10541E-14,1.64526,1.32705E-21,1.66504,9.2053E-18,1.65421,5.83509E-08,2.43088,0,2.09444,6.04072E-41,1.87893,0,2.32606,0,2.26466,0
I,YJL067W,YJL067W,1.89073,4.93554E-15,2.2206,0,1.96185,0,2.0302,3.36312E-44,1.4796,9.49557E-14,1.49785,0,1.67335,4.01619E-34,1.77709,0,1.62875,1.04616E-24,2.52593,0,1.83665,4.22191E-20,1.87527,0,2.41912,1.94718E-32,2.3705,6.27063E-36
I,YCL035C,GRX1,1.63256,5.57848E-25,1.5389,0,1.19452,1.89862E-09,1.78403,0,1.23027,0.00002,1.55082,1.89182E-18,1.85243,0,2.43714,0,2.73795,0,3.07065,0,1.24017,1.18657E-09,1.4981,2.75053E-15,1.41352,3.57858E-11,1.51018,0
I,YBR124W,YBR124W,1.51002,9.2667E-16,2.10217,0,1.72901,9.61883E-09,1.68368,1.46369E-16,1.53438,5.05711E-11,1.38537,1.47352E-08,1.54906,1.70937E-30,1.48911,2.47804E-08,1.51843,3.0314E-07,2.01119,0,1.7736,6.98549E-24,1.76261,0,2.03056,0,2.04418,0
I,YGL177W,YGL177W,1.49445,2.32487E-22,1.44491,8.96474E-10,1.20024,0.02269,1.13519,0.12501,1.23688,0.00054,1.13122,0.00017,1.37695,4.44534E-08,1.31685,1.70012E-08,1.33411,7.28072E-10,1.39962,1.21169E-06,1.50484,1.69039E-14,1.24749,0.0049,1.54672,0.0084,2.27214,0.00023
I,YJL005W,cdc35,1.134,0.0271,1.1215,0.00148,1.21189,2.72411E-06,1.0702,0.07,1.06749,0.1537,1.08529,0.00152,1.63835,5.75331E-40,1.65641,0,1.97786,4.1579E-22,2.28099,0,1.08428,0.02693,1.40192,1.99338E-13,1.32757,1.64466E-07,1.28234,4.57083E-13
I,YER132C,PMD1,1.55605,0,1.76399,0,1.47695,0,1.67077,0,1.45524,0,1.70775,1.83474E-39,1.62701,0,1.62272,0,1.21215,5.43386E-19,1.35632,1.78962E-29,1.86353,0,1.85711,0,1.72156,0,2.05318,0
I,YML059C,NTE1,1.33124,0.00032,1.38194,3.71293E-07,1.33495,2.43383E-06,1.49931,1.03996E-06,1.32745,8.07498E-07,1.64323,3.54905E-16,1.62476,1.58991E-16,1.59666,9.91942E-17,1.48523,2.56392E-10,2.13243,0,1.52473,6.1505E-08,1.3939,1.67385E-10,1.21029,0.00204,1.29512,9.09107E-07
I,YOL078W,AVO1,1.97251,3.45542E-31,1.5982,1.3763E-34,1.77965,0,2.06389,0,1.61407,4.96422E-19,1.41936,1.17256E-26,1.98066,1.68156E-44,1.75055,0,1.61006,5.17176E-11,1.73918,1.77679E-11,1.87991,1.23439E-38,1.95796,7.11617E-36,2.45448,0,2.03418,0
I,YER110C,KAP123,1.72737,6.23417E-08,1.98253,2.05669E-29,1.87014,2.17664E-41,1.01621,0.76508,2.2424,0,1.9556,0,1.61119,0,1.39492,7.95005E-21,1.50617,4.1499E-13,1.14918,0.01338,2.27767,0,1.68556,0,2.0806,0,1.89122,6.28548E-21
