"","ORF","term"
"73","YLR056W","Fe"
"74","YML014W","Fe"
"75","YMR015C","Fe"
"76","YMR272C","Fe"
"77","YOR226C","Fe"
"78","YPL135W","Fe"
"79","YPR067W","Fe"
"80","Q0250","Cu"
"81","YBR024W","Cu"
"82","YBR037C","Cu"
"83","YBR295W","Cu"
"84","YDR270W","Cu"
"85","YDR506C","Cu"
"86","YFL041W","Cu"
"87","YGL089C","Cu"
"88","YGL166W","Cu"
"89","YHR053C","Cu"
"90","YHR055C","Cu"
"91","YJR104C","Cu"
"92","YKL137W","Cu"
"93","YLL009C","Cu"
"94","YLL018C-A","Cu"
"95","YMR021C","Cu"
"96","YMR038C","Cu"
"97","YMR058W","Cu"
"98","YNL259C","Cu"
"99","YOR031W","Cu"
"100","YPL132W","Cu"
"101","YPL187W","Cu"
"102","YPR008W","Cu"
"103","YAL048C","Ca"
"104","YAL058W","Ca"
"105","YBL047C","Ca"
"106","YBR001C","Ca"
"107","YBR053C","Ca"
"108","YBR109C","Ca"
"109","YDR001C","Ca"
"110","YDR373W","Ca"
"111","YGL106W","Ca"
"112","YGL167C","Ca"
"113","YGR058W","Ca"
"114","YGR100W","Ca"
"115","YGR217W","Ca"
"116","YHR204W","Ca"
"117","YIL140W","Ca"
"118","YIR006C","Ca"
"119","YJR131W","Ca"
"120","YKL056C","Ca"
"121","YKL190W","Ca"
"122","YLR057W","Ca"
"123","YLR250W","Ca"
"124","YNL083W","Ca"
"125","YNL084C","Ca"
"126","YNR021W","Ca"
"127","YOR257W","Ca"
"128","YPL048W","Ca"
"129","YPL268W","Ca"
"130","YPR188C","Ca"
"131","YAL051W","Zn"
"132","YAL060W","Zn"
"133","YAL061W","Zn"
"134","YBL005W","Zn"
"135","YBL019W","Zn"
"136","YBL045C","Zn"
"137","YBL066C","Zn"
"138","YBL071W-A","Zn"
"139","YBR018C","Zn"
"140","YBR033W","Zn"
"141","YBR046C","Zn"
"142","YBR058C","Zn"
"143","YBR145W","Zn"
"144","YBR150C","Zn"
"145","YBR239C","Zn"
"146","YBR240C","Zn"
"147","YBR267W","Zn"
"148","YBR297W","Zn"
"149","YCL030C","Zn"
"150","YCR018C","Zn"
"151","YCR105W","Zn"
"152","YCR106W","Zn"
"153","YDL030W","Zn"
"154","YDL042C","Zn"
"155","YDL043C","Zn"
"156","YDL061C","Zn"
"157","YDL168W","Zn"
"158","YDL170W","Zn"
"159","YDL175C","Zn"
"160","YDL238C","Zn"
"161","YDL246C","Zn"
"162","YDR034C","Zn"
"163","YDR045C","Zn"
"164","YDR052C","Zn"
"165","YDR088C","Zn"
"166","YDR207C","Zn"
"167","YDR213W","Zn"
"168","YDR265W","Zn"
"169","YDR303C","Zn"
"170","YDR409W","Zn"
"171","YDR421W","Zn"
"172","YDR448W","Zn"
"173","YDR520C","Zn"
"174","YEL019C","Zn"
"175","YER003C","Zn"
"176","YER017C","Zn"
"177","YER040W","Zn"
"178","YER091C","Zn"
"179","YER137C","Zn"
"180","YER184C","Zn"
"181","YFL021W","Zn"
"182","YFL052W","Zn"
"183","YFR005C","Zn"
"184","YFR037C","Zn"
"185","YGL013C","Zn"
"186","YGL040C","Zn"
"187","YGL043W","Zn"
"188","YGL070C","Zn"
"189","YGL162W","Zn"
"190","YGL187C","Zn"
"191","YGR058W","Zn"
"192","YGR063C","Zn"
"193","YGR109W-A","Zn"
"194","YGR109W-B","Zn"
"195","YGR184C","Zn"
"196","YGR211W","Zn"
"197","YGR267C","Zn"
"198","YGR288W","Zn"
"199","YHR012W","Zn"
