"ORF","Significant"
"YGL200C",TRUE
"YLR080W",FALSE
"YFL048C",FALSE
"YLR083C",TRUE
"YNL313C",FALSE
"YNL084C",FALSE
"YGR254W",TRUE
"YHR174W",TRUE
"YBR247C",TRUE
"YDL161W",TRUE
"YLR206W",FALSE
"YJR125C",TRUE
"YLL038C",TRUE
"YDR153C",FALSE
"YIL005W",FALSE
"YMR049C",TRUE
"YGR175C",FALSE
"YPL028W",FALSE
"YHR007C",TRUE
"YMR208W",FALSE
"YML126C",TRUE
"YMR202W",FALSE
"YJL167W",TRUE
"YNL280C",TRUE
"YGR060W",TRUE
"YGL001C",TRUE
"YLR100W",TRUE
"YER044C",FALSE
"YMR134W",FALSE
"YLR056W",TRUE
"YGL012W",FALSE
"YMR015C",FALSE
"YML008C",TRUE
"YHR190W",TRUE
"YFR041C",TRUE
"YML130C",TRUE
"YAR002C-A",TRUE
"YAL007C",TRUE
"YMR323W",TRUE
"YGR029W",FALSE
"YGL054C",TRUE
"YPR037C",TRUE
"YML012W",TRUE
"YGR284C",FALSE
"YAL042W",TRUE
"YMR219W",FALSE
"YDR365C",FALSE
"YNR054C",FALSE
"YJR017C",TRUE
"YBR026C",TRUE
"YOR051C",FALSE
"YDR518W",TRUE
"YLR300W",TRUE
"YDR261C",TRUE
"YOR317W",FALSE
"YIL009W",FALSE
"YMR246W",TRUE
"YDL166C",TRUE
"YMR029C",TRUE
"YKL182W",TRUE
"YPL231W",TRUE
"YBR041W",FALSE
"YKL060C",TRUE
"YJL155C",TRUE
"YPR062W",TRUE
"YDR539W",FALSE
"YBR101C",TRUE
"YMR058W",FALSE
"YFL041W",FALSE
"YIL065C",FALSE
"YLR342W",TRUE
"YMR306W",TRUE
"YAL053W",TRUE
"YGL139W",FALSE
"YDR236C",TRUE
"YHR176W",FALSE
"YDR070C",TRUE
"YPL222W",TRUE
"YNL168C",TRUE
"YMR221C",FALSE
"YDL222C",TRUE
"YKR049C",FALSE
"YER004W",TRUE
"YNL256W",FALSE
"YGR267C",TRUE
"YNL135C",TRUE
"YDR519W",TRUE
"YML074C",TRUE
"YLR449W",FALSE
"YLL029W",TRUE
"YEL047C",FALSE
"YLR060W",TRUE
"YFL022C",TRUE
"YOR271C",FALSE
"YHR049W",TRUE
"YOR280C",FALSE
"YER145C",TRUE
"YPL262W",FALSE
"YAL035W",TRUE
"YHR128W",TRUE
"YBL016W",FALSE
"YLR088W",FALSE
"YLR459W",FALSE
"YMR250W",TRUE
"YER027C",FALSE
"YKR039W",TRUE
"YHR089C",FALSE
"YMR307W",TRUE
"YMR215W",TRUE
"YOL030W",TRUE
"YFL021W",TRUE
"YCL011C",TRUE
"YER025W",TRUE
"YGR083C",FALSE
"YDR211W",FALSE
"YLR291C",TRUE
"YER163C",TRUE
"YGL195W",TRUE
"YFR009W",FALSE
"YKR026C",TRUE
"YDL226C",TRUE
"YDR019C",TRUE
"YMR189W",TRUE
"YAL044C",TRUE
"YOR120W",TRUE
"YEL042W",TRUE
"YPR184W",TRUE
"YOR375C",TRUE
"YDL215C",FALSE
"YAL062W",FALSE
"YER136W",TRUE
"YJR031C",TRUE
"YEL022W",FALSE
"YJR040W",TRUE
"YGL020C",FALSE
"YER083C",TRUE
"YDL100C",FALSE
"YOR164C",FALSE
"YKL104C",FALSE
"YDR358W",TRUE
"YHR108W",FALSE
"YDL198C",TRUE
"YCL039W",TRUE
"YNL153C",TRUE
"YEL003W",TRUE
"YML094W",TRUE
"YPL137C",FALSE
"YDR096W",TRUE
"YNL255C",TRUE
"YEL011W",TRUE
"YER133W",FALSE
"YMR311C",TRUE
"YCL040W",TRUE
"YPR035W",TRUE
"YOR168W",FALSE
"YML004C",TRUE
"YDR272W",TRUE
"YER122C",FALSE
"YPL091W",FALSE
"YDL171C",TRUE
"YEL046C",TRUE
"YFL017C",TRUE
"YHR183W",TRUE
"YGR256W",TRUE
"YOR320C",FALSE
"YJL184W",TRUE
"YNL274C",TRUE
"YHL031C",TRUE
"YHR005C",TRUE
"YER020W",TRUE
"YOR371C",TRUE
"YAL056W",FALSE
"YDL022W",TRUE
"YOL059W",TRUE
"YGL121C",TRUE
"YPR160W",TRUE
"YHR188C",TRUE
"YDR434W",FALSE
"YKL152C",FALSE
"YDL021W",FALSE
"YOR262W",FALSE
"YIL053W",TRUE
"YER062C",FALSE
"YKR067W",FALSE
"YBR244W",FALSE
"YPL223C",TRUE
"YOL151W",TRUE
"YHR104W",TRUE
"YDR517W",TRUE
"YBR121C",TRUE
"YCL035C",TRUE
"YDR513W",TRUE
"YDR098C",FALSE
"YPL059W",TRUE
"YBR014C",TRUE
"YLR364W",TRUE
"YGR032W",TRUE
"YML048W",FALSE
"YJL101C",TRUE
"YOL049W",TRUE
"YFR015C",TRUE
"YLR258W",TRUE
