"ORF","Significant"
"YPR035W",TRUE
"YOR168W",FALSE
"YML004C",FALSE
"YDR272W",TRUE
"YER122C",FALSE
"YPL091W",FALSE
"YDL171C",TRUE
"YEL046C",TRUE
"YFL017C",TRUE
"YHR183W",TRUE
"YGR256W",TRUE
"YOR320C",FALSE
"YJL184W",FALSE
"YNL274C",TRUE
"YHL031C",FALSE
"YHR005C",FALSE
"YER020W",TRUE
"YOR371C",FALSE
"YAL056W",FALSE
"YDL022W",TRUE
"YOL059W",TRUE
"YGL121C",TRUE
"YPR160W",TRUE
"YHR188C",FALSE
"YDR434W",TRUE
"YKL152C",FALSE
"YDL021W",FALSE
"YOR262W",FALSE
"YIL053W",TRUE
"YER062C",TRUE
"YKR067W",TRUE
"YBR244W",TRUE
"YPL223C",TRUE
"YOL151W",TRUE
"YHR104W",TRUE
"YDR517W",TRUE
"YBR121C",FALSE
"YCL035C",TRUE
"YDR513W",TRUE
"YDR098C",FALSE
"YPL059W",FALSE
"YBR014C",TRUE
"YLR364W",TRUE
"YGR032W",TRUE
"YML048W",FALSE
"YJL101C",TRUE
"YOL049W",TRUE
"YFR015C",TRUE
"YLR258W",TRUE
"YDR221W",FALSE
"YML121W",FALSE
"YGR163W",FALSE
"YGL181W",FALSE
"YIR038C",TRUE
"YMR217W",TRUE
"YDR454C",FALSE
"YGL084C",FALSE
"YGL245W",FALSE
"YIL155C",TRUE
"YIL041W",FALSE
"YJL165C",FALSE
"YJR069C",FALSE
"YMR290C",TRUE
"YPL001W",TRUE
"YEL056W",FALSE
"YCL026C-B",TRUE
"YKR084C",FALSE
"YDL223C",TRUE
"YNL281W",FALSE
"YLR192C",FALSE
"YNL021W",FALSE
"YNL014W",TRUE
"YDR458C",TRUE
"YBL032W",FALSE
"YDR232W",TRUE
"YDR047W",TRUE
"YDR044W",FALSE
"YER014W",FALSE
"YOR176W",TRUE
"YGL040C",TRUE
"YDL205C",FALSE
"YOR278W",TRUE
"YOR227W",FALSE
"YMR207C",FALSE
"YMR110C",TRUE
"YGR187C",FALSE
"YBR009C",FALSE
"YPL127C",TRUE
"YBR010W",TRUE
"YER055C",TRUE
"YOR202W",TRUE
"YCL030C",TRUE
"YIL116W",TRUE
"YBR248C",TRUE
"YER057C",FALSE
"YML075C",FALSE
"YLR450W",FALSE
"YDR174W",FALSE
"YBR034C",FALSE
"YGL077C",FALSE
"YDL125C",TRUE
"YJR075W",TRUE
"YLR113W",FALSE
"YDR158W",TRUE
"YER052C",TRUE
"YJR139C",FALSE
"YPL116W",FALSE
"YEL066W",TRUE
"YDR399W",TRUE
"YNL004W",FALSE
"YLR301W",TRUE
"YOR267C",FALSE
"YOL123W",TRUE
"YPL204W",FALSE
"YOL133W",FALSE
"YMR186W",FALSE
"YHL002W",FALSE
"YGL073W",FALSE
"YMR288W",FALSE
"YBR133C",FALSE
"YBR272C",FALSE
"YOR020C",FALSE
"YLL026W",TRUE
"YFL014W",TRUE
"YJL159W",TRUE
"YBR072W",TRUE
"YCR021C",TRUE
"YDR533C",TRUE
"YDR171W",TRUE
"YLR259C",FALSE
"YDR258C",TRUE
"YPL240C",TRUE
"YDR224C",TRUE
"YBL002W",TRUE
"YPR033C",FALSE
"YOL012C",TRUE
"YGR268C",TRUE
"YFR053C",TRUE
"YGL253W",TRUE
"YHR094C",TRUE
"YDR345C",TRUE
"YHR092C",FALSE
"YHR096C",TRUE
"YDR343C",FALSE
"YDR342C",FALSE
"YEL034W",TRUE
"YIR037W",TRUE
"YOR126C",TRUE
"YIL090W",FALSE
"YNL037C",FALSE
"YOR136W",FALSE
"YPL117C",FALSE
"YDL066W",TRUE
"YNL215W",FALSE
"YOR189W",FALSE
"YBR159W",FALSE
"YFR017C",FALSE
"YNL157W",FALSE
"YHR132W-A",FALSE
"YLR384C",FALSE
"YBL076C",TRUE
"YER086W",TRUE
"YMR108W",TRUE
"YJR016C",TRUE
"YLR355C",TRUE
"YCL009C",TRUE
"YHR216W",TRUE
"YLR432W",TRUE
"YML056C",FALSE
"YCR046C",FALSE
"YLR309C",FALSE
"YJR138W",FALSE
"YJL082W",TRUE
"YHR148W",FALSE
"YDL181W",TRUE
"YHR046C",FALSE
"YJL153C",TRUE
"YGL150C",TRUE
"YOR109W",FALSE
"YLR095C",FALSE
"YMR044W",FALSE
"YNL182C",FALSE
"YBR011C",FALSE
"YPL242C",TRUE
"YBR140C",FALSE
"YPL017C",FALSE
"YIR036C",TRUE
"YIL026C",FALSE
"YER019W",FALSE
"YER048W-A",TRUE
"YOR155C",TRUE
"YNL265C",TRUE
"YBR086C",FALSE
"YBR245C",FALSE
"YOR304W",FALSE
"YGL133W",TRUE
"YDR497C",TRUE
"YDR229W",TRUE
"YKL032C",TRUE
"YDR475C",FALSE
"YLL057C",TRUE
"YJR091C",FALSE
"YKR038C",FALSE
"YBR017C",FALSE
"YPL125W",FALSE
"YER110C",TRUE
"YLR347C",FALSE
"YJL034W",TRUE
"YDR017C",TRUE
"YHR158C",FALSE
"YPL263C",TRUE
"YPL145C",FALSE
"YGL203C",TRUE
"YIL125W",TRUE
"YDR148C",TRUE
"YDR122W",TRUE
"YDL108W",FALSE
"YHR186C",TRUE
"YDR483W",TRUE
"YNL132W",FALSE
"YOR336W",FALSE
"YPR159W",FALSE
"YNL308C",FALSE
"YCL059C",FALSE
"YDR037W",TRUE
"YHR082C",FALSE
"YKL110C",TRUE
"YOR099W",TRUE
"YBR205W",FALSE
"YBR199W",FALSE
"YJL207C",FALSE
"YKL008C",TRUE
"YHL003C",FALSE
"YOL025W",FALSE
"YLR072W",FALSE
"YNL045W",FALSE
"YNL239W",TRUE
"YOR181W",FALSE
"YNL071W",FALSE
"YMR296C",FALSE
"YDR062W",FALSE
"YJL134W",FALSE
"YOR171C",TRUE
"YLR104W",FALSE
"YOR322C",FALSE
"YNL323W",TRUE
"YOR123C",TRUE
"YGL009C",TRUE
"YCL018W",TRUE
"YNL104C",TRUE
"YOR108W",FALSE
"YDL051W",TRUE
"YKL073W",TRUE
"YJR070C",TRUE
"YMR298W",FALSE
"YOR196C",TRUE
"YPR139C",TRUE
"YFR001W",TRUE
"YLR011W",TRUE
"YFL018C",FALSE
"YGR136W",TRUE
"YFR024C-A",TRUE
"YCL034W",FALSE
"YOR142W",TRUE
"YGR244C",FALSE
"YGL099W",TRUE
"YJL124C",TRUE
"YHR121W",FALSE
"YBL026W",TRUE
"YLR438C-A",FALSE
"YER112W",FALSE
"YER146W",TRUE
"YDR378C",TRUE
"YNL147W",FALSE
"YGR169C-A",FALSE
"YPL004C",TRUE
"YPR073C",FALSE
"YKL143W",FALSE
"YIR034C",TRUE
"YIL094C",TRUE
"YBR115C",TRUE
"YDL182W",TRUE
"YDL131W",TRUE
"YDR234W",TRUE
"YNR050C",TRUE
"YGL086W",FALSE
"YJL030W",TRUE
"YKL029C",TRUE
"YDR005C",TRUE
"YKL021C",TRUE
"YDR060W",FALSE
"YBR142W",FALSE
"YOL060C",FALSE
"YIL070C",TRUE
"YLR244C",TRUE
"YBL091C",FALSE
"YLR163C",FALSE
"YHR024C",TRUE
"YOR298C-A",TRUE
"YOR197W",TRUE
"YKL165C",TRUE
"YNL307C",FALSE
"YMR043W",FALSE
"YBL023C",TRUE
"YEL032W",TRUE
"YPR019W",FALSE
"YLR274W",FALSE
"YGL201C",TRUE
"YBR202W",FALSE
"YKL150W",TRUE
"YOR221C",FALSE
"YBR227C",FALSE
"YGR012W",FALSE
"YNL173C",TRUE
"YKL085W",TRUE
"YOL126C",TRUE
"YDL078C",FALSE
"YFL016C",FALSE
"YLR188W",FALSE
"YPL270W",TRUE
"YOL076W",FALSE
"YOL027C",FALSE
"YLR106C",FALSE
"YGR100W",FALSE
"YOL111C",FALSE
"YLR069C",FALSE
"YNL142W",TRUE
"YGR264C",TRUE
"YKR069W",FALSE
"YFR030W",TRUE
"YPL023C",FALSE
"YGL125W",TRUE
"YKL001C",TRUE
"YPR167C",FALSE
"YLR303W",TRUE
"YIL128W",TRUE
"YNL277W",FALSE
"YOL064C",TRUE
"YJR010W",TRUE
"YJR137C",TRUE
"YER091C",TRUE
"YOR241W",FALSE
"YLR017W",TRUE
"YPL169C",FALSE
"YOR232W",FALSE
"YOR211C",TRUE
"YJR144W",TRUE
"YMR115W",FALSE
"YJR008W",TRUE
"YJL042W",TRUE
"YDR296W",FALSE
"YKL195W",TRUE
"YCL057C-A",TRUE
"YBR262C",TRUE
"YFR011C",TRUE
"YKR016W",TRUE
"YGL035C",TRUE
"YJR077C",TRUE
"YBR084W",FALSE
"YEL007W",FALSE
"YDR031W",FALSE
"YMR002W",TRUE
"YBL107C",TRUE
"YGL106W",FALSE
"YPL164C",FALSE
"YKR095W",FALSE
"YIL051C",FALSE
"YGL087C",FALSE
"YER001W",FALSE
"YDR245W",FALSE
"YJL183W",FALSE
"YBR015C",FALSE
"YKL201C",TRUE
"YJL186W",FALSE
"YPL050C",FALSE
"YGL068W",FALSE
"YJR131W",FALSE
"YIL106W",FALSE
"YNL297C",FALSE
"YPL082C",FALSE
"YER068W",FALSE
"YOR288C",FALSE
"YOL088C",FALSE
"YJL066C",TRUE
"YJR002W",TRUE
"YGL178W",FALSE
"YPR112C",TRUE
"YDR033W",FALSE
"YPR118W",FALSE
"YPL184C",FALSE
"YDR347W",FALSE
"YKL003C",FALSE
"YBL090W",TRUE
"YHL004W",FALSE
"YPL118W",FALSE
"YNL005C",TRUE
"YKL142W",TRUE
"YDR116C",TRUE
"YNL284C",FALSE
"YKR006C",FALSE
"YNL185C",FALSE
"YNL177C",FALSE
"YMR193W",FALSE
"YDR462W",FALSE
"YMR024W",FALSE
"YBR122C",FALSE
"YLR439W",FALSE
"YPL173W",TRUE
"YHR147C",FALSE
"YDR237W",FALSE
"YGR220C",TRUE
"YMR188C",FALSE
"YNL306W",FALSE
"YDR337W",FALSE
"YGR165W",TRUE
"YBR251W",FALSE
"YMR158W",FALSE
"YBR146W",TRUE
"YOR370C",FALSE
"YKL009W",TRUE
"YBL095W",TRUE
"YML128C",TRUE
"YLR219W",TRUE
"YOR354C",FALSE
"YHR039C",FALSE
"YOL090W",FALSE
"YDR097C",TRUE
"YBR195C",FALSE
"YDR335W",TRUE
"YGR028W",TRUE
"YDR194C",FALSE
"YLR203C",FALSE
"YDR268W",FALSE
"YJL123C",TRUE
"YKR080W",TRUE
"YNL063W",FALSE
"YOR160W",FALSE
"YKL186C",FALSE
"YJL050W",TRUE
"YOR298W",FALSE
"YNR043W",FALSE
"YMR004W",TRUE
"YER042W",TRUE
"YCL033C",TRUE
"YOR326W",FALSE
"YKL129C",FALSE
"YAL029C",TRUE
"YMR109W",FALSE
"YDR493W",FALSE
"YGL122C",FALSE
"YPL190C",FALSE
"YML117W",FALSE
"YLR382C",TRUE
"YMR080C",FALSE
"YNL137C",FALSE
"YPL126W",FALSE
"YKR048C",FALSE
"YIL007C",FALSE
"YGR232W",FALSE
"YDL040C",FALSE
"YPR155C",FALSE
"YDR397C",FALSE
"YPR149W",TRUE
"YBL024W",FALSE
"YHR042W",TRUE
"YPL006W",TRUE
"YML031W",FALSE
"YMR145C",TRUE
"YML120C",TRUE
"YJL076W",FALSE
"YPL226W",TRUE
"YCL017C",TRUE
"YKL040C",TRUE
"YDR176W",FALSE
"YDL208W",TRUE
"YPR052C",FALSE
"YBR089C-A",TRUE
"YFR002W",FALSE
"YGL221C",TRUE
"YMR309C",FALSE
"YPL211W",TRUE
"YLR351C",TRUE
"YLR328W",FALSE
"YNL123W",FALSE
"YGR010W",FALSE
"YHR170W",TRUE
"YJR132W",FALSE
"YLR195C",FALSE
"YNL200C",TRUE
"YKL151C",TRUE
"YLR285W",FALSE
"YOR206W",TRUE
"YLR002C",FALSE
"YPL093W",TRUE
"YNR053C",TRUE
"YDL014W",TRUE
"YHR072W-A",TRUE
"YOL041C",FALSE
"YNL175C",FALSE
"YDL148C",FALSE
"YNL110C",FALSE
"YNL061W",FALSE
"YPL043W",FALSE
"YLR197W",FALSE
"YOR310C",TRUE
"YDL213C",TRUE
"YGR103W",FALSE
"YJL010C",FALSE
"YIL038C",FALSE
"YJR072C",TRUE
"YDL046W",TRUE
"YDR432W",FALSE
"YBR170C",FALSE
"YMR091C",TRUE
"YNL183C",TRUE
