"","ORF","OEgenename","metal","zscore_OEmetallomics"
"216","YBR022W","POA1","As",0.782457071
"217","YBR023C","CHS3","As",1.417407146
"218","YBR024W","SCO2","As",0.172667462
"219","YBR025C","OLA1","As",-0.034070926
"220","YBR027C","YBR027C","As",0.840292234
"221","YBR028C","YPK3","As",0.169157198
"222","YBR029C","CDS1","As",-2.232964287
"223","YBR030W","RKM3","As",-0.664604722
"224","YBR032W","YBR032W","As",-0.446710682
"225","YBR033W","EDS1","As",0.946667765
"226","YBR034C","HMT1","As",0.508201567
"227","YBR035C","PDX3","As",-1.504770204
"228","YBR037C","SCO1","As",0.349264369
"229","YBR038W","CHS2","As",-0.864974142
"230","YBR039W","ATP3","As",-0.041147411
"231","YBR040W","FIG1","As",0.44642578
"232","YBR042C","CST26","As",0.079696531
"233","YBR043C","QDR3","As",0.881162583
"234","YBR045C","GIP1","As",0.570316035
"235","YBR047W","FMP23","As",-0.271297679
"236","YBR049C","REB1","As",0.757589268
"237","YBR050C","REG2","As",0.80174177
"238","YBR051W","YBR051W","As",-0.345693865
"239","YBR052C","RFS1","As",0.233994724
"240","YBR053C","YBR053C","As",-0.440104383
"241","YBR055C","PRP6","As",-2.647549449
"242","YBR056W","YBR056W","As",0.106962451
"243","YBR057C","MUM2","As",-0.382889415
"244","YBR058C","UBP14","As",-0.687897226
"245","YBR058C-A","TSC3","As",1.299148184
"246","YBR059C","AKL1","As",0.998322057
"247","YBR060C","ORC2","As",0.530718464
"248","YBR061C","TRM7","As",0.243042161
"249","YBR062C","YBR062C","As",0.278616821
"250","YBR063C","YBR063C","As",-1.82617216
"251","YBR064W","YBR064W","As",-0.113140557
"252","YBR065C","ECM2","As",0.391765593
"253","YBR066C","NRG2","As",-0.537727557
"254","YBR067C","TIP1","As",0.606759403
"255","YBR068C","BAP2","As",0.083620865
"256","YBR069C","TAT1","As",1.692977868
"257","YBR070C","ALG14","As",-0.345374153
"258","YBR071W","YBR071W","As",0.648154458
"259","YBR072W","HSP26","As",-0.292325258
"260","YBR077C","SLM4","As",-0.244681373
"261","YBR078W","ECM33","As",-0.891382599
"262","YBR079C","RPG1","As",-0.420846777
"263","YBR080C","SEC18","As",-0.212685047
"264","YBR081C","SPT7","As",-0.98715845
"265","YBR083W","TEC1","As",-3.312493266
"266","YBR084C-A","RPL19A","As",0.047388831
"267","YBR084W","MIS1","As",0.636796504
"268","YBR085C-A","YBR085C-A","As",0.491911724
"269","YBR085W","AAC3","As",0.246866799
"270","YBR086C","IST2","As",-1.910053712
"271","YBR087W","RFC5","As",0.054250105
"272","YBR088C","POL30","As",-0.002577104
"273","YBR089C-A","NHP6B","As",-0.299338208
"274","YBR089W","YBR089W","As",0.121311018
"275","YBR091C","TIM12","As",-0.252628145
"276","YBR092C","PHO3","As",-0.025129082
"277","YBR093C","PHO5","As",0.61012584
"278","YBR094W","PBY1","As",-0.982505653
"279","YBR095C","RXT2","As",-0.271867711
"280","YBR096W","YBR096W","As",-0.084065975
"281","YBR097W","VPS15","As",-1.800974564
"282","YBR098W","MMS4","As",0.886304176
"283","YBR099C","YBR099C","As",-1.004770726
"284","YBR100W","YBR100W","As",4.51121438
"285","YBR101C","FES1","As",-0.111132888
"286","YBR102C","EXO84","As",-0.126173681
"287","YBR103C-A","YBR103C-A","As",-1.424976693
"288","YBR103W","SIF2","As",0.062002079
"289","YBR104W","YMC2","As",-0.897050979
"290","YBR105C","VID24","As",-0.841312971
"291","YBR106W","PHO88","As",0.567274579
"292","YBR107C","IML3","As",-0.113938376
"293","YBR108W","AIM3","As",-0.789507786
"294","YBR109C","CMD1","As",0.511231637
"295","YBR110W","ALG1","As",-0.052883579
"296","YBR111C","YSA1","As",-1.050374398
"297","YBR112C","CYC8","As",-0.442161939
"298","YBR113W","YBR113W","As",-0.248299271
"299","YBR115C","LYS2","As",-0.751888519
"300","YBR116C","YBR116C","As",0.438346515
"301","YBR117C","TKL2","As",0.059100245
"302","YBR118W","TEF1","As",-1.10927756
"303","YBR119W","MUD1","As",-0.809513796
"304","YBR121C","GRS1","As",-0.477247104
"305","YBR122C","MRPL36","As",0.019678397
"306","YBR123C","TFC1","As",0.777451722
"307","YBR124W","YBR124W","As",-0.675563298
"308","YBR125C","PTC4","As",0.993775801
"309","YBR126C","TPS1","As",-1.046217923
"310","YBR126W-A","YBR126W-A","As",0.119097661
"311","YBR127C","VMA2","As",-1.344732481
"312","YBR128C","ATG14","As",1.707387691
"313","YBR129C","OPY1","As",-0.187831333
"314","YBR130C","SHE3","As",-0.258786974
"315","YBR131C-A","YBR131C-A","As",0.225017825
"316","YBR131W","CCZ1","As",-1.130652126
"317","YBR132C","AGP2","As",-0.462087697
"318","YBR133C","HSL7","As",0.949734022
"319","YBR134W","YBR134W","As",0.524413657
"320","YBR135W","CKS1","As",-0.30864713
"321","YBR138C","YBR138C","As",0.525975351
"322","YBR139W","ATG42","As",-1.130665895
"323","YBR140C","IRA1","As",-0.421388853
"324","YBR141C","BMT2","As",-1.591938787
"325","YBR141W-A","YBR141W-A","As",-0.623323446
"326","YBR142W","MAK5","As",-0.159230905
"327","YBR143C","SUP45","As",-0.619881275
"328","YBR144C","YBR144C","As",0.218730051
"329","YBR146W","MRPS9","As",-0.476283689
"330","YBR147W","RTC2","As",1.359601682
"331","YBR148W","YSW1","As",1.154156045
"332","YBR149W","ARA1","As",0.397869238
"333","YBR150C","TBS1","As",-0.483277036
"334","YBR151W","APD1","As",0.287223719
"335","YBR152W","SPP381","As",0.482269474
"336","YBR153W","RIB7","As",0.296643433
"337","YBR154C","RPB5","As",0.095123724
"338","YBR155W","CNS1","As",-0.037956771
"339","YBR156C","SLI15","As",-0.956815707
"340","YBR158W","AMN1","As",-1.341997292
"341","YBR159W","IFA38","As",-0.442523291
"342","YBR160W","CDC28","As",0.113538012
"343","YBR161W","CSH1","As",1.064303389
"344","YBR162C","TOS1","As",1.175754331
"345","YBR162W-A","YSY6","As",-0.424421896
"346","YBR163W","EXO5","As",0.05307629
"347","YBR164C","ARL1","As",0.062673112
"348","YBR165W","UBS1","As",0.638202322
"349","YBR166C","TYR1","As",0.763286667
"350","YBR167C","POP7","As",-1.233654562
"351","YBR168W","PEX32","As",0.543667725
"352","YBR169C","SSE2","As",1.110314257
"353","YBR170C","NPL4","As",-0.223509669
"354","YBR171W","SEC66","As",-0.262973799
"355","YBR172C","SMY2","As",0.907603284
"356","YBR173C","UMP1","As",-0.522788204
"357","YBR174C","YBR174C","As",0.283677514
"358","YBR175W","SWD3","As",0.408491284
"359","YBR176W","ECM31","As",0.698518817
"360","YBR177C","EHT1","As",0.700581848
"361","YBR178W","YBR178W","As",-1.219694308
"362","YBR179C","FZO1","As",0.702447415
"363","YBR180W","DTR1","As",1.019756691
"364","YBR181C","RPS6B","As",-0.813881683
"365","YBR182C","SMP1","As",0.749255014
"366","YBR182C-A","YBR182C-A","As",0.497374923
"367","YBR183W","YPC1","As",-0.622017687
"368","YBR184W","YBR184W","As",-0.041824007
"369","YBR185C","MBA1","As",0.622178158
"370","YBR186W","PCH2","As",-0.458347208
"371","YBR187W","GDT1","As",0.470603867
"372","YBR188C","NTC20","As",-0.210146159
"373","YBR189W","RPS9B","As",0.090619581
"374","YBR190W","YBR190W","As",0.196681694
"375","YBR191W","RPL21A","As",0.243583621
"376","YBR192W","RIM2","As",-1.959245647
"377","YBR193C","MED8","As",0.5131745
"378","YBR194W","AIM4","As",-0.582648752
"379","YBR195C","MSI1","As",0.699452815
"380","YBR196C","PGI1","As",-0.00509571
"381","YBR197C","YBR197C","As",0.197216776
"382","YBR198C","TAF5","As",1.073436366
"383","YBR199W","KTR4","As",0.009990318
"384","YBR200W","BEM1","As",2.363075146
"385","YBR201W","DER1","As",2.216992661
"386","YBR202W","MCM7","As",0.284458448
"387","YBR204C","LDH1","As",-0.773156073
"388","YBR205W","KTR3","As",0.481029442
"389","YBR206W","YBR206W","As",0.348660575
"390","YBR209W","YBR209W","As",-0.527173133
"391","YBR210W","ERV15","As",-0.208566167
"392","YBR211C","AME1","As",-1.686077298
"393","YBR212W","NGR1","As",-0.191034396
"394","YBR213W","MET8","As",-1.278191343
"395","YBR214W","SDS24","As",-1.098630443
"396","YBR215W","HPC2","As",0.131898053
"397","YBR216C","YBP1","As",0.092906267
"398","YBR217W","ATG12","As",-0.699539604
"399","YBR218C","PYC2","As",0.153426113
"400","YBR219C","YBR219C","As",0.38401043
"401","YBR220C","YBR220C","As",-0.845989733
"402","YBR221C","PDB1","As",0.511236342
"403","YBR222C","PCS60","As",-0.171453217
